17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:30:16.577 -> Hello, node 2, message 17, tx time 403 ms, battery 345, RSSI -34 dBm, SNR 10 dB, good/bad packets: 47/0
17:30:18.815 -> Hello, node 3, message 17, tx time 403 ms, battery 340, RSSI -44 dBm, SNR 9 dB, good/bad packets: 48/0
17:30:19.868 -> Hello, node 1, message 6, tx time 908 ms, battery 362, RSSI -55 dBm, SNR 9 dB, good/bad packets: 49/0
17:30:22.632 -> Hello, node 2, message 18, tx time 403 ms, battery 345, RSSI -34 dBm, SNR 9 dB, good/bad packets: 50/0
17:30:24.880 -> Hello, node 3, message 18, tx time 403 ms, battery 339, RSSI -54 dBm, SNR 10 dB, good/bad packets: 51/0
17:30:28.734 -> Hello, node 2, message 19, tx time 404 ms, battery 345, RSSI -28 dBm, SNR 10 dB, good/bad packets: 52/0
17:30:30.946 -> Hello, node 3, message 19, tx time 404 ms, battery 339, RSSI -51 dBm, SNR 10 dB, good/bad packets: 53/0
17:30:34.787 -> Hello, node 2, message 20, tx time 404 ms, battery 345, RSSI -28 dBm, SNR 10 dB, good/bad packets: 54/0
17:30:37.032 -> Hello, node 3, message 20, tx time 404 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 55/0
17:30:40.883 -> Hello, node 2, message 21, tx time 403 ms, battery 344, RSSI -33 dBm, SNR 10 dB, good/bad packets: 56/0
17:30:43.108 -> Hello, node 3, message 21, tx time 403 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 57/0
17:30:46.964 -> Hello, node 2, message 22, tx time 403 ms, battery 344, RSSI -33 dBm, SNR 10 dB, good/bad packets: 58/0
17:30:49.174 -> Hello, node 3, message 22, tx time 403 ms, battery 339, RSSI -52 dBm, SNR 10 dB, good/bad packets: 59/0
17:30:53.053 -> Hello, node 2, message 23, tx time 403 ms, battery 344, RSSI -40 dBm, SNR 10 dB, good/bad packets: 60/0
17:30:55.275 -> Hello, node 3, message 23, tx time 403 ms, battery 338, RSSI -51 dBm, SNR 9 dB, good/bad packets: 61/0
17:30:59.112 -> Hello, node 2, message 24, tx time 403 ms, battery 344, RSSI -48 dBm, SNR 9 dB, good/bad packets: 62/0
17:31:01.353 -> Hello, node 3, message 24, tx time 403 ms, battery 338, RSSI -65 dBm, SNR 9 dB, good/bad packets: 63/0
17:31:05.183 -> Hello, node 2, message 25, tx time 404 ms, battery 344, RSSI -44 dBm, SNR 9 dB, good/bad packets: 64/0
17:31:07.402 -> Hello, node 3, message 25, tx time 404 ms, battery 338, RSSI -56 dBm, SNR 10 dB, good/bad packets: 65/0
17:31:11.271 -> Hello, node 2, message 26, tx time 404 ms, battery 343, RSSI -49 dBm, SNR 9 dB, good/bad packets: 66/0
17:31:13.504 -> Hello, node 3, message 26, tx time 404 ms, battery 338, RSSI -61 dBm, SNR 10 dB, good/bad packets: 67/0
17:31:17.360 -> Hello, node 2, message 27, tx time 404 ms, battery 343, RSSI -51 dBm, SNR 9 dB, good/bad packets: 68/0
17:31:19.569 -> Hello, node 3, message 27, tx time 404 ms, battery 338, RSSI -65 dBm, SNR 9 dB, good/bad packets: 69/0
17:31:23.418 -> Hello, node 2, message 28, tx time 403 ms, battery 343, RSSI -51 dBm, SNR 10 dB, good/bad packets: 70/0
17:31:25.646 -> Hello, node 3, message 28, tx time 403 ms, battery 338, RSSI -54 dBm, SNR 9 dB, good/bad packets: 71/0
17:31:29.513 -> Hello, node 2, message 29, tx time 403 ms, battery 343, RSSI -43 dBm, SNR 9 dB, good/bad packets: 72/0
17:31:31.729 -> Hello, node 3, message 29, tx time 403 ms, battery 337, RSSI -63 dBm, SNR 10 dB, good/bad packets: 73/0
17:31:35.589 -> Hello, node 2, message 30, tx time 403 ms, battery 343, RSSI -43 dBm, SNR 10 dB, good/bad packets: 74/0
17:31:37.811 -> Hello, node 3, message 30, tx time 403 ms, battery 337, RSSI -57 dBm, SNR 9 dB, good/bad packets: 75/0
17:31:41.647 -> Hello, node 2, message 31, tx time 404 ms, battery 343, RSSI -65 dBm, SNR 9 dB, good/bad packets: 76/0
17:31:43.880 -> Hello, node 3, message 31, tx time 404 ms, battery 337, RSSI -76 dBm, SNR 10 dB, good/bad packets: 77/0
17:31:47.717 -> Hello, node 2, message 32, tx time 404 ms, battery 342, RSSI -75 dBm, SNR 10 dB, good/bad packets: 78/0
17:31:49.955 -> Hello, node 3, message 32, tx time 404 ms, battery 337, RSSI -87 dBm, SNR 10 dB, good/bad packets: 79/0
17:31:53.788 -> Hello, node 2, message 33, tx time 404 ms, battery 342, RSSI -86 dBm, SNR 10 dB, good/bad packets: 80/0
17:31:56.037 -> Hello, node 3, message 33, tx time 404 ms, battery 337, RSSI -101 dBm, SNR 9 dB, good/bad packets: 81/0
17:31:59.880 -> Hello, node 2, message 34, tx time 403 ms, battery 342, RSSI -95 dBm, SNR 9 dB, good/bad packets: 82/0

# This maybe the point where the sensors were burried.

17:32:05.946 -> Hello, node 2, message 35, tx time 403 ms, battery 342, RSSI -105 dBm, SNR 8 dB, good/bad packets: 83/1
17:32:08.181 -> Hello, node 3, message 35, tx time 403 ms, battery 337, RSSI -127 dBm, SNR -6 dB, good/bad packets: 84/1
17:32:12.016 -> Hello, node 2, message 36, tx time 403 ms, battery 342, RSSI -107 dBm, SNR 7 dB, good/bad packets: 85/1
17:32:14.238 -> Hello, node 3, message 36, tx time 403 ms, battery 337, RSSI -113 dBm, SNR 5 dB, good/bad packets: 86/1
17:32:18.098 -> Hello, node 2, message 37, tx time 404 ms, battery 342, RSSI -103 dBm, SNR 9 dB, good/bad packets: 87/1
17:32:20.315 -> Hello, node 3, message 37, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 3 dB, good/bad packets: 88/1
17:32:24.165 -> Hello, node 2, message 38, tx time 404 ms, battery 342, RSSI -105 dBm, SNR 8 dB, good/bad packets: 89/1
17:32:26.404 -> Hello, node 3, message 38, tx time 404 ms, battery 336, RSSI -107 dBm, SNR 8 dB, good/bad packets: 90/1
17:32:30.263 -> Hello, node 2, message 39, tx time 404 ms, battery 342, RSSI -104 dBm, SNR 9 dB, good/bad packets: 91/1
17:32:32.487 -> Hello, node 3, message 39, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 3 dB, good/bad packets: 92/1
17:32:36.331 -> Hello, node 2, message 40, tx time 403 ms, battery 342, RSSI -106 dBm, SNR 8 dB, good/bad packets: 93/1
17:32:38.564 -> Hello, node 3, message 40, tx time 403 ms, battery 336, RSSI -118 dBm, SNR 0 dB, good/bad packets: 94/1
17:32:42.423 -> Hello, node 2, message 41, tx time 403 ms, battery 342, RSSI -104 dBm, SNR 9 dB, good/bad packets: 95/1
17:32:44.638 -> Hello, node 3, message 41, tx time 403 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 96/1
17:32:48.500 -> Hello, node 2, message 42, tx time 403 ms, battery 342, RSSI -106 dBm, SNR 8 dB, good/bad packets: 97/1
17:32:50.716 -> Hello, node 3, message 42, tx time 403 ms, battery 336, RSSI -127 dBm, SNR -5 dB, good/bad packets: 98/1
17:32:54.575 -> Hello, node 2, message 43, tx time 403 ms, battery 342, RSSI -123 dBm, SNR -2 dB, good/bad packets: 99/1
17:33:00.659 -> Hello, node 2, message 44, tx time 404 ms, battery 342, RSSI -101 dBm, SNR 9 dB, good/bad packets: 100/2
17:33:02.851 -> Hello, node 3, message 44, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 101/2
17:33:06.732 -> Hello, node 2, message 45, tx time 404 ms, battery 342, RSSI -125 dBm, SNR -4 dB, good/bad packets: 102/2
17:33:08.944 -> Hello, node 3, message 45, tx time 404 ms, battery 336, RSSI -129 dBm, SNR -7 dB, good/bad packets: 103/2
17:33:12.801 -> Hello, node 2, message 46, tx time 403 ms, battery 342, RSSI -123 dBm, SNR -2 dB, good/bad packets: 104/2
17:33:18.891 -> Hello, node 2, message 47, tx time 403 ms, battery 341, RSSI -124 dBm, SNR -3 dB, good/bad packets: 105/3
17:33:21.091 -> Hello, node 3, message 47, tx time 403 ms, battery 336, RSSI -117 dBm, SNR 0 dB, good/bad packets: 106/3
17:33:24.959 -> Hello, node 2, message 48, tx time 403 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 107/3
17:33:27.186 -> Hello, node 3, message 48, tx time 403 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 108/3
