17:42:46.287 -> Hello, node 3, message 140, tx time 401 ms, battery 336, RSSI -123 dBm, SNR -3 dB, good/bad packets: 289/3
17:42:50.154 -> Hello, node 2, message 141, tx time 401 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 290/3
17:42:52.366 -> Hello, node 3, message 141, tx time 401 ms, battery 336, RSSI -113 dBm, SNR 5 dB, good/bad packets: 291/3
17:42:56.233 -> Hello, node 2, message 142, tx time 403 ms, battery 341, RSSI -112 dBm, SNR 5 dB, good/bad packets: 292/3
17:42:58.420 -> Hello, node 3, message 142, tx time 403 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 293/3
17:43:02.350 -> Hello, node 2, message 143, tx time 401 ms, battery 341, RSSI -115 dBm, SNR 3 dB, good/bad packets: 294/3
17:43:04.520 -> Hello, node 3, message 143, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 295/3
17:43:08.423 -> Hello, node 2, message 144, tx time 402 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 296/3
17:43:10.590 -> Hello, node 3, message 144, tx time 404 ms, battery 336, RSSI -113 dBm, SNR 4 dB, good/bad packets: 297/3
17:43:14.472 -> Hello, node 2, message 145, tx time 402 ms, battery 341, RSSI -112 dBm, SNR 5 dB, good/bad packets: 298/3
17:43:16.694 -> Hello, node 3, message 145, tx time 402 ms, battery 336, RSSI -113 dBm, SNR 4 dB, good/bad packets: 299/3
17:43:20.577 -> Hello, node 2, message 146, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 300/3
17:43:22.761 -> Hello, node 3, message 146, tx time 401 ms, battery 336, RSSI -113 dBm, SNR 4 dB, good/bad packets: 301/3
17:43:26.648 -> Hello, node 2, message 147, tx time 403 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 302/3
17:43:28.838 -> Hello, node 3, message 147, tx time 403 ms, battery 336, RSSI -112 dBm, SNR 5 dB, good/bad packets: 303/3
17:43:32.706 -> Hello, node 2, message 148, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 304/3
17:43:34.894 -> Hello, node 3, message 148, tx time 401 ms, battery 336, RSSI -111 dBm, SNR 6 dB, good/bad packets: 305/3
17:43:38.804 -> Hello, node 2, message 149, tx time 401 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 306/3
17:43:41.001 -> Hello, node 3, message 149, tx time 401 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 307/3
17:43:44.870 -> Hello, node 2, message 150, tx time 404 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 308/3
17:43:47.057 -> Hello, node 3, message 150, tx time 402 ms, battery 336, RSSI -108 dBm, SNR 8 dB, good/bad packets: 309/3
17:43:50.978 -> Hello, node 2, message 151, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 310/3
17:43:53.128 -> Hello, node 3, message 151, tx time 404 ms, battery 336, RSSI -109 dBm, SNR 7 dB, good/bad packets: 311/3
17:43:57.022 -> Hello, node 2, message 152, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 312/3
17:43:59.218 -> Hello, node 3, message 152, tx time 401 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 313/3
17:44:03.111 -> Hello, node 2, message 153, tx time 401 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 314/3
17:44:05.321 -> Hello, node 3, message 153, tx time 403 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 315/3
17:44:09.175 -> Hello, node 2, message 154, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 316/3
17:44:11.369 -> Hello, node 3, message 154, tx time 401 ms, battery 336, RSSI -109 dBm, SNR 6 dB, good/bad packets: 317/3
17:44:15.283 -> Hello, node 2, message 155, tx time 401 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 318/3
17:44:17.463 -> Hello, node 3, message 155, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 319/3
17:44:21.367 -> Hello, node 2, message 156, tx time 402 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 320/3
17:44:23.525 -> Hello, node 3, message 156, tx time 402 ms, battery 336, RSSI -111 dBm, SNR 6 dB, good/bad packets: 321/3
17:44:27.450 -> Hello, node 2, message 157, tx time 404 ms, battery 341, RSSI -116 dBm, SNR 2 dB, good/bad packets: 322/3
17:44:29.617 -> Hello, node 3, message 157, tx time 404 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 323/3
17:44:33.499 -> Hello, node 2, message 158, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 324/3
17:44:35.697 -> Hello, node 3, message 158, tx time 404 ms, battery 336, RSSI -121 dBm, SNR -1 dB, good/bad packets: 325/3
17:44:39.582 -> Hello, node 2, message 159, tx time 401 ms, battery 341, RSSI -105 dBm, SNR 8 dB, good/bad packets: 326/3
17:44:41.758 -> Hello, node 3, message 159, tx time 401 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 327/3
17:44:45.665 -> Hello, node 2, message 160, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 328/3
17:44:47.831 -> Hello, node 3, message 160, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 329/3
17:44:51.744 -> Hello, node 2, message 161, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 330/3
17:44:53.933 -> Hello, node 3, message 161, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 331/3
