# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 113, 1600166396, 342, 386, 1862, 3044, 0x00
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 119, 1600166426, 342, 387, 1867, 3030, 0x00
1, 120, 1600166431, 342, 386, 1870, 3031, 0x00
1, 121, 1600166436, 343, 387, 1867, 3034, 0x00
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 123, 1600166446, 342, 387, 1870, 3028, 0x00
1, 124, 1600166451, 343, 386, 1873, 3051, 0x00
1, 125, 1600166456, 343, 387, 1873, 3564, 0x00
1, 126, 1600166461, 343, 387, 1874, 3662, 0x00
1, 127, 1600166466, 343, 386, 1874, 3431, 0x00
1, 128, 1600166471, 342, 386, 1876, 3246, 0x00
1, 129, 1600166476, 343, 386, 1879, 3126, 0x00
1, 130, 1600166481, 343, 387, 1879, 3098, 0x00
1, 131, 1600166486, 342, 387, 1883, 3093, 0x00
1, 132, 1600166492, 343, 386, 1884, 3073, 0x00
1, 133, 1600166497, 343, 386, 1885, 3046, 0x00
1, 134, 1600166502, 343, 386, 1887, 3029, 0x00
1, 135, 1600166507, 343, 386, 1890, 3018, 0x00
1, 136, 1600166512, 343, 386, 1893, 3015, 0x00
1, 137, 1600166517, 343, 386, 1893, 3004, 0x00
1, 138, 1600166522, 343, 386, 1894, 2991, 0x00
1, 139, 1600166527, 343, 386, 1898, 2971, 0x00
1, 140, 1600166532, 343, 386, 1895, 2868, 0x00
1, 141, 1600166537, 343, 386, 1891, 2462, 0x00
1, 142, 1600166542, 343, 386, 1887, 2102, 0x00
1, 143, 1600166547, 343, 387, 1877, 1821, 0x00
1, 144, 1600166552, 343, 387, 1869, 1614, 0x00
1, 145, 1600166557, 343, 387, 1854, 1452, 0x00
1, 146, 1600166562, 343, 386, 1839, 1340, 0x00
1, 147, 1600166567, 343, 386, 1818, 1268, 0x00
1, 148, 1600166572, 343, 386, 1800, 1214, 0x00
1, 149, 1600166577, 343, 387, 1779, 1167, 0x00
1, 150, 1600166582, 343, 386, 1760, 1128, 0x00
1, 151, 1600166587, 343, 386, 1732, 1085, 0x00
1, 152, 1600166592, 344, 387, 1703, 1047, 0x00
1, 153, 1600166597, 344, 386, 1676, 1021, 0x00
1, 154, 1600166602, 344, 387, 1648, 989, 0x00
1, 155, 1600166607, 344, 386, 1619, 958, 0x00
1, 156, 1600166613, 344, 386, 1586, 939, 0x00
1, 157, 1600166618, 343, 386, 1558, 914, 0x00
1, 158, 1600166623, 344, 387, 1527, 893, 0x00
1, 159, 1600166628, 343, 386, 1496, 883, 0x00
1, 160, 1600166633, 344, 386, 1463, 868, 0x00
1, 161, 1600166638, 344, 386, 1428, 853, 0x00
1, 162, 1600166643, 344, 387, 1397, 845, 0x00
1, 163, 1600166648, 344, 387, 1363, 841, 0x00
1, 164, 1600166653, 344, 386, 1329, 835, 0x00
1, 165, 1600166658, 344, 386, 1298, 818, 0x00
1, 166, 1600166663, 344, 387, 1268, 822, 0x00
1, 167, 1600166668, 344, 387, 1234, 822, 0x00
1, 168, 1600166673, 344, 386, 1203, 818, 0x00
1, 169, 1600166678, 344, 386, 1170, 821, 0x00
1, 170, 1600166683, 344, 386, 1137, 822, 0x00
1, 171, 1600166688, 344, 387, 1104, 820, 0x00
1, 172, 1600166693, 344, 386, 1073, 821, 0x00
1, 173, 1600166698, 344, 386, 1041, 821, 0x00
1, 174, 1600166703, 344, 387, 1010, 829, 0x00
1, 175, 1600166708, 344, 386, 979, 834, 0x00
1, 176, 1600166713, 344, 387, 949, 833, 0x00
1, 177, 1600166718, 344, 386, 920, 841, 0x00
1, 178, 1600166723, 344, 386, 887, 841, 0x00
1, 179, 1600166728, 344, 387, 854, 850, 0x00
1, 180, 1600166734, 344, 386, 826, 858, 0x00
1, 181, 1600166739, 344, 386, 798, 860, 0x00
1, 182, 1600166744, 344, 387, 770, 872, 0x00
1, 183, 1600166749, 344, 387, 738, 878, 0x00
1, 184, 1600166754, 345, 387, 711, 885, 0x00
1, 185, 1600166759, 344, 387, 684, 888, 0x00
1, 186, 1600166764, 344, 386, 654, 906, 0x00
1, 187, 1600166769, 344, 386, 628, 910, 0x00
1, 188, 1600166774, 344, 387, 599, 913, 0x00
1, 189, 1600166779, 345, 387, 571, 925, 0x00
1, 190, 1600166784, 344, 386, 543, 933, 0x00
1, 191, 1600166789, 345, 386, 518, 941, 0x00
1, 192, 1600166794, 345, 387, 492, 954, 0x00
1, 193, 1600166799, 345, 387, 465, 963, 0x00
1, 194, 1600166804, 345, 386, 438, 964, 0x00
1, 195, 1600166809, 344, 386, 413, 983, 0x00
1, 196, 1600166814, 345, 387, 389, 991, 0x00
1, 197, 1600166819, 345, 386, 364, 1000, 0x00
1, 198, 1600166824, 345, 386, 338, 1013, 0x00
1, 199, 1600166829, 345, 386, 316, 1025, 0x00
1, 200, 1600166834, 345, 386, 292, 1031, 0x00
1, 201, 1600166839, 345, 386, 268, 1040, 0x00
1, 202, 1600166844, 345, 386, 245, 1048, 0x00
1, 203, 1600166850, 345, 386, 222, 1062, 0x00
1, 204, 1600166855, 345, 386, 198, 1072, 0x00
1, 205, 1600166860, 345, 386, 177, 1087, 0x00
1, 206, 1600166865, 345, 386, 154, 1092, 0x00
1, 207, 1600166870, 345, 386, 132, 1108, 0x00
1, 208, 1600166875, 345, 387, 111, 1110, 0x00
1, 209, 1600166880, 345, 386, 90, 1121, 0x00
1, 210, 1600166885, 345, 386, 70, 1128, 0x00
1, 211, 1600166890, 345, 386, 49, 1141, 0x00
1, 212, 1600166895, 345, 386, 28, 1157, 0x00
1, 213, 1600166900, 345, 386, 8, 1162, 0x00
1, 214, 1600166905, 345, 386, -13, 1170, 0x00
1, 215, 1600166910, 345, 386, -32, 1178, 0x00
1, 216, 1600166915, 345, 386, -51, 1187, 0x00
1, 217, 1600166920, 345, 387, -71, 1198, 0x00
1, 218, 1600166925, 345, 386, -89, 1215, 0x00
1, 219, 1600166930, 345, 386, -104, 1227, 0x00
1, 220, 1600166935, 345, 386, -123, 1239, 0x00
1, 221, 1600166940, 345, 386, -140, 1255, 0x00
1, 222, 1600166945, 345, 387, -154, 1260, 0x00
1, 223, 1600166950, 345, 386, -170, 1278, 0x00
1, 224, 1600166955, 345, 386, -185, 1296, 0x00
1, 225, 1600166960, 345, 386, -199, 1307, 0x00
1, 226, 1600166966, 345, 386, -213, 1317, 0x00
1, 227, 1600166971, 345, 387, -226, 1329, 0x00
1, 228, 1600166976, 345, 386, -240, 1347, 0x00
1, 229, 1600166981, 345, 386, -254, 1359, 0x00
1, 230, 1600166986, 345, 386, -267, 1375, 0x00
1, 232, 1600166996, 345, 386, -291, 1406, 0x00
1, 233, 1600167001, 345, 386, -305, 1421, 0x00
1, 234, 1600167006, 345, 387, -316, 1434, 0x00
1, 235, 1600167011, 345, 386, -329, 1452, 0x00
1, 236, 1600167016, 345, 386, -343, 1471, 0x00
1, 237, 1600167021, 345, 386, -351, 1485, 0x00
1, 238, 1600167026, 345, 386, -361, 1501, 0x00
1, 239, 1600167031, 345, 386, -373, 1513, 0x00
1, 240, 1600167036, 345, 386, -387, 1532, 0x00
1, 241, 1600167041, 345, 387, -397, 1550, 0x00
1, 242, 1600167046, 345, 386, -407, 1568, 0x00
1, 243, 1600167051, 345, 386, -417, 1586, 0x00
1, 244, 1600167056, 345, 386, -426, 1601, 0x00
1, 245, 1600167061, 345, 386, -435, 1621, 0x00
1, 246, 1600167066, 345, 386, -444, 1631, 0x00
1, 247, 1600167071, 345, 386, -454, 1650, 0x00
1, 248, 1600167077, 345, 386, -463, 1669, 0x00
1, 249, 1600167082, 345, 386, -473, 1678, 0x00
1, 250, 1600167087, 345, 386, -481, 1699, 0x00
1, 251, 1600167092, 345, 386, -492, 1719, 0x00
1, 252, 1600167097, 345, 386, -500, 1729, 0x00
1, 253, 1600167102, 345, 386, -510, 1754, 0x00
1, 254, 1600167107, 345, 386, -520, 1771, 0x00
1, 255, 1600167112, 345, 386, -525, 1787, 0x00
1, 256, 1600167117, 345, 386, -535, 1804, 0x00
1, 257, 1600167122, 345, 386, -542, 1821, 0x00
1, 258, 1600167127, 345, 386, -552, 1837, 0x00
1, 259, 1600167132, 345, 386, -560, 1859, 0x00
1, 260, 1600167137, 345, 387, -567, 1871, 0x00
1, 261, 1600167142, 345, 386, -576, 1890, 0x00
1, 262, 1600167147, 345, 386, -583, 1907, 0x00
1, 263, 1600167152, 345, 386, -590, 1924, 0x00
1, 264, 1600167157, 345, 386, -597, 1937, 0x00
1, 265, 1600167162, 345, 386, -604, 1956, 0x00
1, 267, 1600167172, 345, 386, -621, 1989, 0x00
1, 268, 1600167177, 345, 386, -628, 2004, 0x00
1, 269, 1600167183, 344, 386, -634, 2026, 0x00
