# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 1, 1599860009, 426, 0, 2519, 3466, 0x00
1, 2, 1599860014, 361, 65, 2517, 3331, 0x00
1, 3, 1599860019, 360, 65, 2517, 3315, 0x00
1, 4, 1599860024, 360, 64, 2519, 3328, 0x00
1, 5, 1599860029, 359, 64, 2516, 3312, 0x00
1, 6, 1599860034, 359, 65, 2520, 3530, 0x00
1, 7, 1599860039, 359, 65, 2522, 3495, 0x00
1, 8, 1599860044, 358, 65, 2520, 3441, 0x00
1, 9, 1599860049, 358, 64, 2520, 3408, 0x00
1, 10, 1599860054, 358, 64, 2522, 3358, 0x00
1, 11, 1599860059, 357, 64, 2520, 3365, 0x00
1, 12, 1599860064, 357, 64, 2522, 3359, 0x00
1, 13, 1599860069, 357, 65, 2522, 3359, 0x00
1, 14, 1599860075, 357, 64, 2524, 3398, 0x00
1, 15, 1599860080, 357, 65, 2524, 3415, 0x00
1, 16, 1599860085, 357, 65, 2523, 3433, 0x00
1, 17, 1599860090, 357, 65, 2523, 3418, 0x00
1, 18, 1599860095, 356, 64, 2524, 3379, 0x00
1, 19, 1599860100, 356, 64, 2523, 3312, 0x00
1, 20, 1599860105, 356, 64, 2526, 3248, 0x00
1, 21, 1599860110, 356, 64, 2527, 3284, 0x00
1, 22, 1599860115, 356, 64, 2524, 3297, 0x00
1, 23, 1599860120, 356, 65, 2526, 3318, 0x00
1, 24, 1599860125, 356, 64, 2526, 3315, 0x00
1, 25, 1599860130, 355, 65, 2526, 3306, 0x00
1, 26, 1599860135, 356, 64, 2529, 3325, 0x00
1, 27, 1599860140, 355, 65, 2526, 3334, 0x00
