14:22:19.553 -> boot
14:22:19.553 -> Start receiveer
14:22:19.624 -> ATTACH
14:22:19.624 -> 1
14:22:19.624 -> Listening on frequency: 915.00
14:31:44.340 -> request: Hello, node 1, message 11081, msg time 1598973410, tx time 404 ms, battery 357 v, temp 1366 C, humidity 8563 %, status 0x00, RSSI -116 dBm, SNR 0 dB, good/bad packets: 30/23
14:31:53.230 -> request: Hello, node 2, message 3304, msg time 1599374135, tx time 403 ms, battery 359 v, temp 1323 C, humidity 9427 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 31/23
14:32:05.341 -> request: Hello, node 1, message 11082, msg time 1598973431, tx time 403 ms, battery 357 v, temp 1359 C, humidity 8574 %, status 0x00, RSSI -120 dBm, SNR -2 dB, good/bad packets: 32/23
14:32:14.230 -> request: Hello, node 2, message 3305, msg time 1599374156, tx time 403 ms, battery 359 v, temp 1320 C, humidity 9431 %, status 0x00, RSSI -105 dBm, SNR 6 dB, good/bad packets: 33/23
14:32:35.256 -> request: Hello, node 2, message 3306, msg time 1599374177, tx time 403 ms, battery 359 v, temp 1312 C, humidity 9438 %, status 0x00, RSSI -105 dBm, SNR 6 dB, good/bad packets: 34/24
14:32:56.233 -> request: Hello, node 2, message 3307, msg time 1599374198, tx time 404 ms, battery 359 v, temp 1309 C, humidity 9443 %, status 0x00, RSSI -104 dBm, SNR 7 dB, good/bad packets: 35/25
14:33:17.231 -> request: Hello, node 2, message 3308, msg time 1599374219, tx time 404 ms, battery 359 v, temp 1307 C, humidity 9448 %, status 0x00, RSSI -103 dBm, SNR 8 dB, good/bad packets: 36/26
14:33:38.230 -> request: Hello, node 2, message 3309, msg time 1599374240, tx time 404 ms, battery 359 v, temp 1302 C, humidity 9450 %, status 0x00, RSSI -101 dBm, SNR 7 dB, good/bad packets: 37/27
14:33:59.232 -> request: Hello, node 2, message 3310, msg time 1599374261, tx time 403 ms, battery 359 v, temp 1300 C, humidity 9456 %, status 0x00, RSSI -104 dBm, SNR 7 dB, good/bad packets: 38/28
14:34:20.259 -> request: Hello, node 2, message 3311, msg time 1599374282, tx time 404 ms, battery 359 v, temp 1297 C, humidity 9460 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 39/29
14:34:41.259 -> request: Hello, node 2, message 3312, msg time 1599374303, tx time 404 ms, battery 359 v, temp 1293 C, humidity 9466 %, status 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 40/30
14:34:53.373 -> request: Hello, node 1, message 11090, msg time 1598973599, tx time 404 ms, battery 357 v, temp 1326 C, humidity 8652 %, status 0x00, RSSI -120 dBm, SNR -3 dB, good/bad packets: 41/30
14:35:02.261 -> request: Hello, node 2, message 3313, msg time 1599374324, tx time 403 ms, battery 359 v, temp 1289 C, humidity 9472 %, status 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 42/30
14:35:23.231 -> request: Hello, node 2, message 3314, msg time 1599374345, tx time 404 ms, battery 358 v, temp 1287 C, humidity 9472 %, status 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 43/31
14:35:44.262 -> request: Hello, node 2, message 3315, msg time 1599374366, tx time 403 ms, battery 359 v, temp 1284 C, humidity 9479 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 44/31
14:36:05.239 -> request: Hello, node 2, message 3316, msg time 1599374387, tx time 403 ms, battery 359 v, temp 1280 C, humidity 9478 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 45/32
14:36:26.249 -> request: Hello, node 2, message 3317, msg time 1599374408, tx time 403 ms, battery 359 v, temp 1277 C, humidity 9485 %, status 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 46/33
14:36:47.233 -> request: Hello, node 2, message 3318, msg time 1599374429, tx time 403 ms, battery 359 v, temp 1275 C, humidity 9485 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 47/34
14:36:59.343 -> request: Hello, node 1, message 11096, msg time 1598973725, tx time 403 ms, battery 356 v, temp 1305 C, humidity 8702 %, status 0x00, RSSI -115 dBm, SNR 0 dB, good/bad packets: 48/34
14:37:08.276 -> request: Hello, node 2, message 3319, msg time 1599374450, tx time 403 ms, battery 359 v, temp 1272 C, humidity 9488 %, status 0x00, RSSI -102 dBm, SNR 7 dB, good/bad packets: 49/34
14:37:29.251 -> request: Hello, node 2, message 3320, msg time 1599374471, tx time 404 ms, battery 358 v, temp 1269 C, humidity 9497 %, status 0x00, RSSI -104 dBm, SNR 7 dB, good/bad packets: 50/35
14:37:41.354 -> request: Hello, node 1, message 11098, msg time 1598973767, tx time 403 ms, battery 357 v, temp 1300 C, humidity 8723 %, status 0x00, RSSI -115 dBm, SNR 0 dB, good/bad packets: 51/35
14:37:50.256 -> request: Hello, node 2, message 3321, msg time 1599374492, tx time 403 ms, battery 358 v, temp 1265 C, humidity 9497 %, status 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 52/35
14:38:02.339 -> request: Hello, node 1, message 11099, msg time 1598973788, tx time 402 ms, battery 357 v, temp 1295 C, humidity 8728 %, status 0x00, RSSI -115 dBm, SNR 0 dB, good/bad packets: 53/35
14:38:11.259 -> request: Hello, node 2, message 3322, msg time 1599374513, tx time 404 ms, battery 358 v, temp 1265 C, humidity 9498 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 54/35
14:38:32.264 -> request: Hello, node 2, message 3323, msg time 1599374534, tx time 404 ms, battery 359 v, temp 1262 C, humidity 9503 %, status 0x00, RSSI -99 dBm, SNR 9 dB, good/bad packets: 55/36
14:38:53.246 -> request: Hello, node 2, message 3324, msg time 1599374555, tx time 404 ms, battery 359 v, temp 1259 C, humidity 9504 %, status 0x00, RSSI -99 dBm, SNR 9 dB, good/bad packets: 56/37
14:39:15.271 -> request: Hello, node 2, message 3325, msg time 1599374577, tx time 403 ms, battery 359 v, temp 1256 C, humidity 9506 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 57/38
14:39:58.243 -> request: Hello, node 2, message 3327, msg time 1599374620, tx time 403 ms, battery 358 v, temp 1253 C, humidity 9512 %, status 0x00, RSSI -99 dBm, SNR 8 dB, good/bad packets: 58/41
14:40:19.261 -> request: Hello, node 2, message 3328, msg time 1599374641, tx time 404 ms, battery 358 v, temp 1250 C, humidity 9518 %, status 0x00, RSSI -108 dBm, SNR 6 dB, good/bad packets: 59/42
14:40:40.252 -> request: Hello, node 2, message 3329, msg time 1599374662, tx time 403 ms, battery 358 v, temp 1249 C, humidity 9518 %, status 0x00, RSSI -105 dBm, SNR 6 dB, good/bad packets: 60/43
14:41:01.245 -> request: Hello, node 2, message 3330, msg time 1599374683, tx time 404 ms, battery 358 v, temp 1246 C, humidity 9521 %, status 0x00, RSSI -107 dBm, SNR 3 dB, good/bad packets: 61/44
14:41:22.231 -> request: Hello, node 2, message 3331, msg time 1599374704, tx time 404 ms, battery 358 v, temp 1244 C, humidity 9522 %, status 0x00, RSSI -106 dBm, SNR 5 dB, good/bad packets: 62/45
14:41:32.368 -> request: Hello, node 1, message 11109, msg time 1598973998, tx time 402 ms, battery 357 v, temp 1268 C, humidity 8795 %, status 0x00, RSSI -120 dBm, SNR -2 dB, good/bad packets: 63/45
14:41:43.258 -> request: Hello, node 2, message 3332, msg time 1599374725, tx time 402 ms, battery 358 v, temp 1239 C, humidity 9526 %, status 0x00, RSSI -107 dBm, SNR 7 dB, good/bad packets: 64/45
14:42:04.226 -> request: Hello, node 2, message 3333, msg time 1599374746, tx time 403 ms, battery 358 v, temp 1238 C, humidity 9527 %, status 0x00, RSSI -107 dBm, SNR 5 dB, good/bad packets: 65/46
14:42:14.347 -> request: Hello, node 1, message 11111, msg time 1598974040, tx time 403 ms, battery 356 v, temp 1265 C, humidity 8806 %, status 0x00, RSSI -121 dBm, SNR -3 dB, good/bad packets: 66/46
