# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00

# at this point the nodes 2 and 3 are at 'pos 1'

Hello, node 1, message 422, tx time 404 ms, battery 349, RSSI -104 dBm, SNR 6 dB, good/bad packets: 444/40
Hello, node 1, message 423, tx time 403 ms, battery 350, RSSI -103 dBm, SNR 6 dB, good/bad packets: 445/41
Hello, node 2, message 436, tx time 401 ms, battery 342, RSSI -120 dBm, SNR -5 dB, good/bad packets: 446/41
Hello, node 1, message 424, tx time 405 ms, battery 355, RSSI -104 dBm, SNR 6 dB, good/bad packets: 447/41
Hello, node 1, message 425, tx time 403 ms, battery 350, RSSI -103 dBm, SNR 6 dB, good/bad packets: 448/42
Hello, node 1, message 426, tx time 404 ms, battery 355, RSSI -103 dBm, SNR 6 dB, good/bad packets: 449/43
Hello, node 2, message 439, tx time 402 ms, battery 342, RSSI -121 dBm, SNR -6 dB, good/bad packets: 450/43
Hello, node 1, message 427, tx time 404 ms, battery 356, RSSI -103 dBm, SNR 7 dB, good/bad packets: 451/43
Hello, node 2, message 440, tx time 401 ms, battery 342, RSSI -120 dBm, SNR -5 dB, good/bad packets: 452/43
Hello, node 1, message 428, tx time 404 ms, battery 353, RSSI -104 dBm, SNR 7 dB, good/bad packets: 453/43
Hello, node 1, message 429, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 7 dB, good/bad packets: 454/44
Hello, node 2, message 442, tx time 401 ms, battery 342, RSSI -119 dBm, SNR -5 dB, good/bad packets: 455/44
Hello, node 1, message 430, tx time 403 ms, battery 355, RSSI -104 dBm, SNR 5 dB, good/bad packets: 456/44
Hello, node 1, message 431, tx time 403 ms, battery 358, RSSI -102 dBm, SNR 5 dB, good/bad packets: 457/45
