17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:32:32.487 -> Hello, node 3, message 39, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 3 dB, good/bad packets: 92/1
17:32:38.564 -> Hello, node 3, message 40, tx time 403 ms, battery 336, RSSI -118 dBm, SNR 0 dB, good/bad packets: 94/1
17:32:44.638 -> Hello, node 3, message 41, tx time 403 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 96/1
17:32:50.716 -> Hello, node 3, message 42, tx time 403 ms, battery 336, RSSI -127 dBm, SNR -5 dB, good/bad packets: 98/1
17:33:02.851 -> Hello, node 3, message 44, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 101/2
17:33:08.944 -> Hello, node 3, message 45, tx time 404 ms, battery 336, RSSI -129 dBm, SNR -7 dB, good/bad packets: 103/2
17:33:21.091 -> Hello, node 3, message 47, tx time 403 ms, battery 336, RSSI -117 dBm, SNR 0 dB, good/bad packets: 106/3
17:33:27.186 -> Hello, node 3, message 48, tx time 403 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 108/3
17:33:33.251 -> Hello, node 3, message 49, tx time 403 ms, battery 336, RSSI -115 dBm, SNR 2 dB, good/bad packets: 110/3
17:33:39.345 -> Hello, node 3, message 50, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 112/3
17:33:45.411 -> Hello, node 3, message 51, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 114/3
17:33:51.481 -> Hello, node 3, message 52, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 116/3
17:33:57.573 -> Hello, node 3, message 53, tx time 403 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 118/3
17:34:03.656 -> Hello, node 3, message 54, tx time 403 ms, battery 336, RSSI -114 dBm, SNR 2 dB, good/bad packets: 120/3
