Hello, node 2, message 27591, msg time 1599885063, tx time 404 ms, battery 356 v, temp 1614 C, humidity 7800 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60754/1767
Hello, node 2, message 27592, msg time 1599885084, tx time 403 ms, battery 357 v, temp 1618 C, humidity 7798 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60755/1767
Hello, node 2, message 27593, msg time 1599885105, tx time 402 ms, battery 357 v, temp 1620 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60756/1767
Hello, node 2, message 27594, msg time 1599885126, tx time 402 ms, battery 356 v, temp 1620 C, humidity 7796 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60757/1767
Hello, node 2, message 27595, msg time 1599885147, tx time 402 ms, battery 357 v, temp 1620 C, humidity 7798 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60758/1767
Hello, node 2, message 27596, msg time 1599885168, tx time 402 ms, battery 357 v, temp 1621 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60759/1767
Hello, node 2, message 27597, msg time 1599885189, tx time 402 ms, battery 357 v, temp 1621 C, humidity 7803 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60760/1767
Hello, node 2, message 27598, msg time 1599885210, tx time 402 ms, battery 357 v, temp 1625 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60761/1767
Hello, node 2, message 27599, msg time 1599885231, tx time 402 ms, battery 357 v, temp 1625 C, humidity 7798 %, status 0x00, RSSI -91 dBm, SNR 7 dB, good/bad packets: 60762/1767
Hello, node 2, message 27600, msg time 1599885252, tx time 402 ms, battery 356 v, temp 1627 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60763/1767
Hello, node 2, message 27601, msg time 1599885273, tx time 402 ms, battery 357 v, temp 1628 C, humidity 7797 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60764/1767
Hello, node 2, message 27602, msg time 1599885294, tx time 402 ms, battery 356 v, temp 1631 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60765/1767
Hello, node 2, message 27603, msg time 1599885315, tx time 402 ms, battery 356 v, temp 1632 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60766/1767
