Hello, node 2, message 43276, msg time 1600215136, tx time 403 ms, battery 356 v, temp 1030 C, humidity 6651 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 10812/2009
Hello, node 2, message 43277, msg time 1600215157, tx time 403 ms, battery 356 v, temp 1028 C, humidity 6656 %, status 0x00, RSSI -89 dBm, SNR 8 dB, good/bad packets: 10813/2009
Hello, node 2, message 43278, msg time 1600215178, tx time 402 ms, battery 356 v, temp 1028 C, humidity 6650 %, status 0x00, RSSI -89 dBm, SNR 9 dB, good/bad packets: 10814/2009
Hello, node 2, message 43279, msg time 1600215199, tx time 402 ms, battery 356 v, temp 1029 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 8 dB, good/bad packets: 10815/2009
Hello, node 2, message 43280, msg time 1600215220, tx time 402 ms, battery 356 v, temp 1028 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10816/2009
Hello, node 2, message 43281, msg time 1600215241, tx time 402 ms, battery 356 v, temp 1026 C, humidity 6655 %, status 0x00, RSSI -89 dBm, SNR 9 dB, good/bad packets: 10817/2009
Hello, node 2, message 43282, msg time 1600215262, tx time 402 ms, battery 356 v, temp 1026 C, humidity 6653 %, status 0x00, RSSI -88 dBm, SNR 8 dB, good/bad packets: 10818/2009
Hello, node 2, message 43283, msg time 1600215283, tx time 403 ms, battery 356 v, temp 1026 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10819/2009
Hello, node 2, message 43284, msg time 1600215304, tx time 403 ms, battery 356 v, temp 1025 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10820/2009
Hello, node 2, message 43285, msg time 1600215325, tx time 403 ms, battery 356 v, temp 1026 C, humidity 6653 %, status 0x00, RSSI -88 dBm, SNR 8 dB, good/bad packets: 10821/2009
Hello, node 2, message 43286, msg time 1600215346, tx time 403 ms, battery 356 v, temp 1028 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10822/2009
Hello, node 2, message 43287, msg time 1600215367, tx time 403 ms, battery 356 v, temp 1028 C, humidity 6653 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10823/2009
Hello, node 2, message 43288, msg time 1600215388, tx time 402 ms, battery 356 v, temp 1025 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10824/2009
Hello, node 2, message 43289, msg time 1600215409, tx time 402 ms, battery 356 v, temp 1024 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10825/2009
Hello, node 2, message 43290, msg time 1600215430, tx time 402 ms, battery 356 v, temp 1025 C, humidity 6653 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10826/2009
Hello, node 2, message 43291, msg time 1600215451, tx time 402 ms, battery 356 v, temp 1022 C, humidity 6653 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10827/2010
Hello, node 2, message 43292, msg time 1600215472, tx time 402 ms, battery 356 v, temp 1025 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 8 dB, good/bad packets: 10828/2010
Hello, node 2, message 43293, msg time 1600215493, tx time 402 ms, battery 356 v, temp 1022 C, humidity 6651 %, status 0x00, RSSI -89 dBm, SNR 8 dB, good/bad packets: 10829/2010
Hello, node 2, message 43294, msg time 1600215514, tx time 403 ms, battery 356 v, temp 1024 C, humidity 6651 %, status 0x00, RSSI -88 dBm, SNR 9 dB, good/bad packets: 10830/2010
