# Nodes outside at S 1 and S 2,3 pos 2 with the server outside, line-of-sight to nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 1, message 696, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 913/181
Hello, node 2, message 708, tx time 402 ms, battery 345, RSSI -102 dBm, SNR 6 dB, good/bad packets: 914/181
Hello, node 3, message 709, tx time 401 ms, battery 339, RSSI -116 dBm, SNR -3 dB, good/bad packets: 915/181
Hello, node 1, message 697, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 916/181
Hello, node 2, message 709, tx time 401 ms, battery 345, RSSI -102 dBm, SNR 6 dB, good/bad packets: 917/181
Hello, node 3, message 710, tx time 401 ms, battery 339, RSSI -107 dBm, SNR 1 dB, good/bad packets: 918/181
Hello, node 1, message 698, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 919/181
Hello, node 2, message 710, tx time 401 ms, battery 345, RSSI -105 dBm, SNR 3 dB, good/bad packets: 920/181
Hello, node 3, message 711, tx time 401 ms, battery 339, RSSI -115 dBm, SNR -2 dB, good/bad packets: 921/181
Hello, node 1, message 699, tx time 403 ms, battery 359, RSSI -106 dBm, SNR 4 dB, good/bad packets: 922/181
Hello, node 2, message 711, tx time 403 ms, battery 345, RSSI -104 dBm, SNR 4 dB, good/bad packets: 923/181
Hello, node 3, message 712, tx time 402 ms, battery 339, RSSI -115 dBm, SNR -2 dB, good/bad packets: 924/181
Hello, node 1, message 700, tx time 405 ms, battery 359, RSSI -106 dBm, SNR 3 dB, good/bad packets: 925/181
Hello, node 2, message 712, tx time 402 ms, battery 345, RSSI -108 dBm, SNR 1 dB, good/bad packets: 926/181
Hello, node 3, message 713, tx time 402 ms, battery 339, RSSI -114 dBm, SNR -1 dB, good/bad packets: 927/181
Hello, node 1, message 701, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 928/181
Hello, node 2, message 713, tx time 404 ms, battery 345, RSSI -113 dBm, SNR -1 dB, good/bad packets: 929/181
Hello, node 3, message 714, tx time 402 ms, battery 339, RSSI -114 dBm, SNR -2 dB, good/bad packets: 930/181
Hello, node 1, message 702, tx time 406 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 931/181
Hello, node 3, message 715, tx time 401 ms, battery 339, RSSI -109 dBm, SNR 0 dB, good/bad packets: 932/182
Hello, node 1, message 703, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 933/182
Hello, node 2, message 715, tx time 401 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 934/182
Hello, node 3, message 716, tx time 401 ms, battery 339, RSSI -120 dBm, SNR -6 dB, good/bad packets: 935/182
Hello, node 1, message 704, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 936/182
Hello, node 2, message 716, tx time 401 ms, battery 345, RSSI -113 dBm, SNR -1 dB, good/bad packets: 937/182
Hello, node 1, message 705, tx time 405 ms, battery 359, RSSI -105 dBm, SNR 5 dB, good/bad packets: 938/183
Hello, node 2, message 717, tx time 401 ms, battery 345, RSSI -107 dBm, SNR 2 dB, good/bad packets: 939/183
Hello, node 3, message 718, tx time 401 ms, battery 339, RSSI -116 dBm, SNR -3 dB, good/bad packets: 940/183
Hello, node 1, message 706, tx time 403 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 941/183
