Hello, node 1, message 6381, msg time 1598874702, tx time 404 ms, battery 355 v, temp 2424 C, humidity 2753 %, status 0x00, RSSI -67 dBm, SNR 9 dB, good/bad packets: 14804/1148
Hello, node 1, message 6382, msg time 1598874723, tx time 403 ms, battery 355 v, temp 2431 C, humidity 2747 %, status 0x00, RSSI -66 dBm, SNR 9 dB, good/bad packets: 14805/1148
Hello, node 1, message 6383, msg time 1598874744, tx time 404 ms, battery 355 v, temp 2431 C, humidity 2757 %, status 0x00, RSSI -65 dBm, SNR 9 dB, good/bad packets: 14806/1148
Hello, node 1, message 6384, msg time 1598874765, tx time 404 ms, battery 355 v, temp 2433 C, humidity 2749 %, status 0x00, RSSI -67 dBm, SNR 9 dB, good/bad packets: 14807/1148
Hello, node 1, message 6385, msg time 1598874786, tx time 404 ms, battery 355 v, temp 2433 C, humidity 2748 %, status 0x00, RSSI -66 dBm, SNR 9 dB, good/bad packets: 14808/1148
Hello, node 1, message 6386, msg time 1598874807, tx time 404 ms, battery 355 v, temp 2436 C, humidity 2744 %, status 0x00, RSSI -66 dBm, SNR 9 dB, good/bad packets: 14809/1148
Hello, node 2, message 1, msg time 1599303554, tx time 0 ms, battery 406 v, temp 2406 C, humidity 2783 %, status 0x00, RSSI -45 dBm, SNR 9 dB, good/bad packets: 14810/1148
Hello, node 1, message 6387, msg time 1598874828, tx time 404 ms, battery 355 v, temp 2438 C, humidity 2743 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14811/1148
Hello, node 2, message 2, msg time 1599303578, tx time 404 ms, battery 360 v, temp 65535 C, humidity 2777 %, status 0x04, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14812/1148
Hello, node 1, message 6388, msg time 1598874849, tx time 403 ms, battery 355 v, temp 2438 C, humidity 2743 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14813/1148
Hello, node 2, message 3, msg time 1599303599, tx time 404 ms, battery 376 v, temp 2410 C, humidity 2783 %, status 0x02, RSSI -38 dBm, SNR 9 dB, good/bad packets: 14814/1148
Hello, node 1, message 6389, msg time 1598874870, tx time 403 ms, battery 355 v, temp 2440 C, humidity 2738 %, status 0x00, RSSI -65 dBm, SNR 9 dB, good/bad packets: 14815/1148
Hello, node 2, message 4, msg time 1599303620, tx time 404 ms, battery 192 v, temp 2409 C, humidity 2780 %, status 0x00, RSSI -39 dBm, SNR 9 dB, good/bad packets: 14816/1148
Hello, node 1, message 6390, msg time 1598874891, tx time 404 ms, battery 355 v, temp 2444 C, humidity 2738 %, status 0x00, RSSI -64 dBm, SNR 10 dB, good/bad packets: 14817/1148
Hello, node 2, message 5, msg time 1599303641, tx time 403 ms, battery 131 v, temp 2412 C, humidity 2779 %, status 0x00, RSSI -49 dBm, SNR 9 dB, good/bad packets: 14818/1148
Hello, node 1, message 6391, msg time 1598874912, tx time 403 ms, battery 355 v, temp 2444 C, humidity 2741 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14819/1148
Hello, node 2, message 6, msg time 1599303662, tx time 404 ms, battery 346 v, temp 2412 C, humidity 2780 %, status 0x00, RSSI -50 dBm, SNR 10 dB, good/bad packets: 14820/1148
Hello, node 1, message 6392, msg time 1598874933, tx time 404 ms, battery 355 v, temp 2449 C, humidity 2735 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14821/1148
Hello, node 2, message 7, msg time 1599303683, tx time 404 ms, battery 47 v, temp 2414 C, humidity 2775 %, status 0x00, RSSI -53 dBm, SNR 9 dB, good/bad packets: 14822/1148
