Reset nodes at the same time. Using CAD but without a loop delay. Node 1 
was slightly farther from the server.

16:22:08.480 -> Hello, node 2, message 69, tx time 404 ms, battery 294,-35,0
16:22:08.944 -> Hello, node 2, message 70, tx time 404 ms, battery 294,-44,-1
16:22:09.405 -> Hello, node 2, message 71, tx time 403 ms, battery 294,-45,-1
16:22:09.852 -> Hello, node 2, message 72, tx time 404 ms, battery 293,-38,0
16:22:10.310 -> Hello, node 2, message 73, tx time 402 ms, battery 294,-40,0
16:22:13.057 -> Hello, node 2, message 79, tx time 404 ms, battery 293,-41,0
16:22:13.515 -> Hello, node 2, message 80, tx time 401 ms, battery 293,-43,0
16:22:14.889 -> Hello, node 2, message 83, tx time 405 ms, battery 293,-41,0
16:22:15.348 -> Hello, node 2, message 84, tx time 402 ms, battery 293,-41,0
16:22:15.806 -> Hello, node 2, message 85, tx time 403 ms, battery 293,-41,0
16:22:16.261 -> Hello, node 2, message 86, tx time 403 ms, battery 293,-41,0
16:22:16.718 -> Hello, node 2, message 87, tx time 402 ms, battery 293,-42,0
16:22:17.177 -> Hello, node 2, message 88, tx time 405 ms, battery 292,-41,1
16:22:17.636 -> Hello, node 2, message 89, tx time 401 ms, battery 292,-40,1
16:22:18.550 -> Hello, node 2, message 91, tx time 401 ms, battery 292,-43,3
16:22:19.008 -> Hello, node 2, message 92, tx time 403 ms, battery 292,-43,4
16:22:19.466 -> Hello, node 2, message 93, tx time 402 ms, battery 292,-42,5
16:22:19.924 -> Hello, node 2, message 94, tx time 403 ms, battery 292,-42,5
16:22:20.378 -> Hello, node 2, message 95, tx time 403 ms, battery 291,-42,5
16:22:20.839 -> Hello, node 2, message 96, tx time 402 ms, battery 292,-43,5
16:22:21.299 -> Hello, node 2, message 97, tx time 405 ms, battery 291,-42,5
16:22:21.753 -> Hello, node 2, message 98, tx time 401 ms, battery 291,-42,6
16:22:22.212 -> Hello, node 2, message 99, tx time 404 ms, battery 291,-43,5
16:22:29.077 -> Hello, node 1, message 115, tx time 403 ms, battery 356,-48,9
16:22:29.535 -> Hello, node 1, message 116, tx time 404 ms, battery 356,-49,9
16:22:29.990 -> Hello, node 1, message 117, tx time 403 ms, battery 356,-49,9
16:22:30.447 -> Hello, node 1, message 118, tx time 403 ms, battery 356,-49,9
16:22:30.908 -> Hello, node 1, message 119, tx time 404 ms, battery 356,-47,10
16:22:31.365 -> Hello, node 1, message 120, tx time 403 ms, battery 356,-48,9
16:22:31.821 -> Hello, node 1, message 121, tx time 403 ms, battery 356,-49,9
16:22:32.279 -> Hello, node 1, message 122, tx time 404 ms, battery 356,-48,9
16:22:32.735 -> Hello, node 1, message 123, tx time 403 ms, battery 356,-49,9
16:22:33.193 -> Hello, node 1, message 124, tx time 403 ms, battery 356,-48,9
16:22:33.650 -> Hello, node 1, message 125, tx time 404 ms, battery 356,-48,9
16:22:34.108 -> Hello, node 1, message 126, tx time 403 ms, battery 356,-48,10
16:22:34.566 -> Hello, node 1, message 127, tx time 403 ms, battery 356,-49,9
16:22:35.023 -> Hello, node 1, message 128, tx time 404 ms, battery 357,-48,9
16:22:35.481 -> Hello, node 1, message 129, tx time 403 ms, battery 356,-48,9
16:22:35.939 -> Hello, node 1, message 130, tx time 403 ms, battery 356,-48,9
16:22:36.356 -> Hello, node 2, message 116, tx time 3119 ms, battery 292,-42,9
16:22:36.803 -> Hello, node 1, message 131, tx time 404 ms, battery 356,-48,9
16:22:37.216 -> Hello, node 2, message 117, tx time 707 ms, battery 291,-42,9
16:22:37.673 -> Hello, node 2, message 118, tx time 805 ms, battery 291,-43,9
16:22:38.131 -> Hello, node 2, message 119, tx time 406 ms, battery 291,-42,9
16:22:38.588 -> Hello, node 2, message 120, tx time 401 ms, battery 291,-42,9
16:22:39.046 -> Hello, node 2, message 121, tx time 404 ms, battery 291,-42,9
16:22:39.504 -> Hello, node 2, message 122, tx time 404 ms, battery 291,-42,9
16:22:39.964 -> Hello, node 2, message 123, tx time 401 ms, battery 291,-42,9
16:22:40.421 -> Hello, node 2, message 124, tx time 406 ms, battery 291,-42,9
16:22:40.878 -> Hello, node 2, message 125, tx time 402 ms, battery 291,-42,9
16:22:41.335 -> Hello, node 2, message 126, tx time 405 ms, battery 291,-43,9
16:22:41.794 -> Hello, node 2, message 127, tx time 402 ms, battery 291,-43,9
16:22:42.252 -> Hello, node 2, message 128, tx time 404 ms, battery 291,-44,9
16:22:42.714 -> Hello, node 2, message 129, tx time 403 ms, battery 291,-43,9
16:22:43.164 -> Hello, node 2, message 130, tx time 402 ms, battery 291,-43,10
16:22:43.626 -> Hello, node 2, message 131, tx time 405 ms, battery 291,-44,9
16:22:44.081 -> Hello, node 2, message 132, tx time 401 ms, battery 290,-43,9
16:22:44.521 -> Hello, node 1, message 134, tx time 3119 ms, battery 356,-45,9
16:22:44.978 -> Hello, node 1, message 135, tx time 710 ms, battery 356,-45,9
16:22:45.431 -> Hello, node 1, message 136, tx time 403 ms, battery 356,-47,9
16:22:45.890 -> Hello, node 1, message 137, tx time 404 ms, battery 356,-47,9
16:22:46.354 -> Hello, node 1, message 138, tx time 403 ms, battery 356,-47,9
16:22:46.767 -> Hello, node 2, message 133, tx time 406 ms, battery 291,-43,9
16:22:52.244 -> Hello, node 1, message 150, tx time 404 ms, battery 356,-47,9
16:22:52.702 -> Hello, node 1, message 151, tx time 403 ms, battery 356,-45,10
16:22:53.159 -> Hello, node 1, message 152, tx time 404 ms, battery 356,-47,9
16:22:53.616 -> Hello, node 1, message 153, tx time 404 ms, battery 356,-47,9
16:22:54.073 -> Hello, node 1, message 154, tx time 403 ms, battery 356,-47,9
16:22:54.532 -> Hello, node 1, message 155, tx time 404 ms, battery 356,-45,10
16:22:54.990 -> Hello, node 1, message 156, tx time 404 ms, battery 356,-45,10
16:22:55.447 -> Hello, node 1, message 157, tx time 403 ms, battery 356,-45,9
16:22:55.905 -> Hello, node 1, message 158, tx time 404 ms, battery 356,-45,10
16:22:56.363 -> Hello, node 1, message 159, tx time 403 ms, battery 356,-45,9
16:22:56.819 -> Hello, node 1, message 160, tx time 403 ms, battery 357,-45,9
16:22:57.280 -> Hello, node 1, message 161, tx time 404 ms, battery 356,-47,9
16:22:57.734 -> Hello, node 1, message 162, tx time 403 ms, battery 356,-47,9
16:22:58.195 -> Hello, node 1, message 163, tx time 403 ms, battery 356,-47,9
16:22:58.651 -> Hello, node 1, message 164, tx time 404 ms, battery 356,-44,10
16:22:59.107 -> Hello, node 1, message 165, tx time 403 ms, battery 356,-48,9
16:22:59.566 -> Hello, node 1, message 166, tx time 403 ms, battery 356,-49,9
16:23:00.025 -> Hello, node 1, message 167, tx time 404 ms, battery 356,-48,10
16:23:00.437 -> Hello, node 2, message 147, tx time 3220 ms, battery 291,-42,9
16:23:00.895 -> Hello, node 2, message 148, tx time 2007 ms, battery 291,-42,9
16:23:01.356 -> Hello, node 2, message 149, tx time 406 ms, battery 290,-42,9
16:23:01.812 -> Hello, node 2, message 150, tx time 401 ms, battery 291,-42,10
16:23:02.270 -> Hello, node 2, message 151, tx time 403 ms, battery 290,-43,9
16:23:02.705 -> Hello, node 1, message 168, tx time 403 ms, battery 356,-48,9
16:23:03.165 -> Hello, node 1, message 169, tx time 2623 ms, battery 356,-49,9
16:23:03.620 -> Hello, node 1, message 170, tx time 404 ms, battery 356,-48,9
16:23:04.076 -> Hello, node 1, message 171, tx time 403 ms, battery 356,-47,9
16:23:04.534 -> Hello, node 1, message 172, tx time 403 ms, battery 356,-45,10
16:23:04.948 -> Hello, node 2, message 152, tx time 404 ms, battery 290,-41,9
16:23:05.408 -> Hello, node 2, message 153, tx time 2613 ms, battery 291,-44,9
16:23:05.863 -> Hello, node 2, message 154, tx time 406 ms, battery 290,-42,9
16:23:06.323 -> Hello, node 2, message 155, tx time 402 ms, battery 290,-44,9
16:23:06.780 -> Hello, node 2, message 156, tx time 403 ms, battery 290,-42,9
16:23:07.237 -> Hello, node 2, message 157, tx time 403 ms, battery 290,-47,9
16:23:07.695 -> Hello, node 2, message 158, tx time 402 ms, battery 290,-48,9
16:23:08.150 -> Hello, node 2, message 159, tx time 405 ms, battery 290,-49,9
