# Reset nodes 2 and 3 so they are offset in time.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 2, message 21, tx time 403 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2559/353
Hello, node 3, message 21, tx time 403 ms, battery 334, RSSI -45 dBm, SNR 10 dB, good/bad packets: 2560/353
Hello, node 1, message 3, tx time 403 ms, battery 274, RSSI -48 dBm, SNR 9 dB, good/bad packets: 2561/353
Hello, node 2, message 22, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2562/353
Hello, node 3, message 22, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2563/353
Hello, node 1, message 4, tx time 403 ms, battery 275, RSSI -48 dBm, SNR 9 dB, good/bad packets: 2564/353
Hello, node 2, message 23, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2565/353
Hello, node 3, message 23, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2566/353
Hello, node 1, message 5, tx time 403 ms, battery 274, RSSI -48 dBm, SNR 8 dB, good/bad packets: 2567/353
Hello, node 2, message 24, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2568/353
Hello, node 3, message 24, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2569/353
Hello, node 1, message 6, tx time 404 ms, battery 275, RSSI -48 dBm, SNR 9 dB, good/bad packets: 2570/353
Hello, node 2, message 25, tx time 404 ms, battery 339, RSSI -41 dBm, SNR 10 dB, good/bad packets: 2571/353
Hello, node 3, message 25, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2572/353
Hello, node 1, message 7, tx time 404 ms, battery 275, RSSI -47 dBm, SNR 9 dB, good/bad packets: 2573/353
Hello, node 2, message 26, tx time 404 ms, battery 339, RSSI -41 dBm, SNR 9 dB, good/bad packets: 2574/353
Hello, node 3, message 26, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2575/353
Hello, node 1, message 8, tx time 404 ms, battery 275, RSSI -47 dBm, SNR 9 dB, good/bad packets: 2576/353
Hello, node 2, message 27, tx time 404 ms, battery 339, RSSI -41 dBm, SNR 9 dB, good/bad packets: 2577/353
Hello, node 3, message 27, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2578/353
Hello, node 1, message 9, tx time 403 ms, battery 275, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2579/353
Hello, node 3, message 28, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2580/354
Hello, node 1, message 10, tx time 403 ms, battery 276, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2581/354
Hello, node 2, message 29, tx time 403 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2582/354
Hello, node 3, message 29, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 10 dB, good/bad packets: 2583/354
Hello, node 1, message 11, tx time 403 ms, battery 276, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2584/354
Hello, node 2, message 30, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2585/354
Hello, node 3, message 30, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2586/354
Hello, node 1, message 12, tx time 404 ms, battery 276, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2587/354
Hello, node 2, message 31, tx time 404 ms, battery 339, RSSI -42 dBm, SNR 10 dB, good/bad packets: 2588/354
Hello, node 3, message 31, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2589/354
Hello, node 1, message 13, tx time 404 ms, battery 277, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2590/354
Hello, node 2, message 32, tx time 404 ms, battery 340, RSSI -42 dBm, SNR 10 dB, good/bad packets: 2591/354
Hello, node 3, message 32, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2592/354
Hello, node 1, message 14, tx time 404 ms, battery 276, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2593/354
Hello, node 2, message 33, tx time 404 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2594/354
Hello, node 3, message 33, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2595/354
Hello, node 1, message 15, tx time 403 ms, battery 276, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2596/354
Hello, node 2, message 34, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2597/354
Hello, node 3, message 34, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 10 dB, good/bad packets: 2598/354
Hello, node 1, message 16, tx time 403 ms, battery 277, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2599/354
Hello, node 2, message 35, tx time 403 ms, battery 339, RSSI -41 dBm, SNR 10 dB, good/bad packets: 2600/354
Hello, node 3, message 35, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2601/354
Hello, node 1, message 17, tx time 403 ms, battery 277, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2602/354
Hello, node 2, message 36, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2603/354
Hello, node 3, message 36, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2604/354
Hello, node 1, message 18, tx time 403 ms, battery 277, RSSI -45 dBm, SNR 10 dB, good/bad packets: 2605/354
Hello, node 2, message 37, tx time 404 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2606/354
Hello, node 3, message 37, tx time 404 ms, battery 334, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2607/354
Hello, node 1, message 19, tx time 404 ms, battery 276, RSSI -50 dBm, SNR 10 dB, good/bad packets: 2608/354
Hello, node 2, message 38, tx time 404 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2609/354
Hello, node 3, message 38, tx time 404 ms, battery 334, RSSI -43 dBm, SNR 10 dB, good/bad packets: 2610/354
Hello, node 1, message 20, tx time 404 ms, battery 274, RSSI -50 dBm, SNR 9 dB, good/bad packets: 2611/354
Hello, node 2, message 39, tx time 404 ms, battery 340, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2612/354
Hello, node 3, message 39, tx time 404 ms, battery 334, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2613/354
Hello, node 2, message 40, tx time 403 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2614/354
Hello, node 3, message 40, tx time 403 ms, battery 334, RSSI -47 dBm, SNR 9 dB, good/bad packets: 2615/354
