Hello, this is device 2, message 86, tx time 406 ms,-29,8
Hello, this is device 1, message 161, tx time 2910 ms,-48,8
Hello, this is device 1, message 162, tx time 404 ms,-48,8
Hello, this is device 1, message 163, tx time 403 ms,-48,9
Hello, this is device 1, message 164, tx time 406 ms,-48,9
Hello, this is device 1, message 165, tx time 403 ms,-47,9
Hello, this is device 1, message 166, tx time 404 ms,-48,9
Hello, this is device 1, message 167, tx time 403 ms,-47,9
Hello, this is device 1, message 168, tx time 406 ms,-47,9
Hello, this is device 1, message 169, tx time 403 ms,-47,9
Hello, this is device 1, message 170, tx time 404 ms,-48,9
Hello, this is device 1, message 171, tx time 403 ms,-48,9
Hello, this is device 1, message 172, tx time 406 ms,-48,9
Hello, this is device 1, message 173, tx time 403 ms,-47,9
Hello, this is device 1, message 174, tx time 404 ms,-48,9
Hello, this is device 1, message 175, tx time 403 ms,-47,9
Hello, this is device 1, message 176, tx time 405 ms,-48,9
Hello, this is device 1, message 177, tx time 403 ms,-47,9
Hello, this is device 1, message 178, tx time 403 ms,-48,9
Hello, this is device 1, message 179, tx time 404 ms,-48,9
Hello, this is device 1, message 180, tx time 405 ms,-48,9
Hello, this is device 1, message 181, tx time 404 ms,-48,9
Hello, this is device 1, message 182, tx time 403 ms,-48,8
Hello, this is device 1, message 183, tx time 404 ms,-48,9
Hello, this is device 1, message 184, tx time 403 ms,-47,9
Hello, this is device 1, message 185, tx time 406 ms,-48,9
Hello, this is device 1, message 186, tx time 403 ms,-48,9
Hello, this is device 1, message 187, tx time 404 ms,-47,9
Hello, this is device 2, message 90, tx time 3717 ms,-36,7
Hello, this is device 2, message 91, tx time 1005 ms,-37,7
Hello, this is device 2, message 93, tx time 401 ms,-36,10
Hello, this is device 2, message 94, tx time 404 ms,-37,9
Hello, this is device 2, message 95, tx time 405 ms,-37,9
Hello, this is device 2, message 96, tx time 404 ms,-37,9
Hello, this is device 2, message 97, tx time 401 ms,-37,9
Hello, this is device 2, message 98, tx time 401 ms,-36,9
Hello, this is device 2, message 99, tx time 404 ms,-37,8
Hello, this is device 2, message 100, tx time 405 ms,-37,9
Hello, this is device 2, message 101, tx time 406 ms,-37,9
Hello, this is device 2, message 102, tx time 401 ms,-36,9
Hello, this is device 2, message 103, tx time 402 ms,-36,9
Hello, this is device 2, message 104, tx time 401 ms,-36,9
Hello, this is device 2, message 105, tx time 404 ms,-37,9
Hello, this is device 2, message 106, tx time 405 ms,-37,9
Hello, this is device 2, message 107, tx time 404 ms,-37,9
Hello, this is device 2, message 108, tx time 401 ms,-36,9
Hello, this is device 2, message 109, tx time 402 ms,-37,9
Hello, this is device 2, message 110, tx time 403 ms,-37,9
Hello, this is device 2, message 111, tx time 406 ms,-37,9
Hello, this is device 2, message 112, tx time 403 ms,-38,9
Hello, this is device 2, message 113, tx time 401 ms,-37,8
Hello, this is device 2, message 114, tx time 401 ms,-37,9
Hello, this is device 2, message 115, tx time 401 ms,-37,9
Hello, this is device 2, message 116, tx time 406 ms,-37,9
Hello, this is device 2, message 117, tx time 405 ms,-36,10
Hello, this is device 2, message 118, tx time 404 ms,-36,9
Hello, this is device 2, message 119, tx time 401 ms,-36,9
Hello, this is device 2, message 120, tx time 402 ms,-37,9
Hello, this is device 2, message 121, tx time 403 ms,-37,9
Hello, this is device 2, message 122, tx time 406 ms,-37,9
Hello, this is device 2, message 123, tx time 403 ms,-37,9
Hello, this is device 2, message 124, tx time 402 ms,-37,9
Hello, this is device 2, message 125, tx time 401 ms,-38,9
Hello, this is device 2, message 126, tx time 404 ms,-37,9
Hello, this is device 2, message 127, tx time 405 ms,-37,9
Hello, this is device 2, message 128, tx time 406 ms,-37,9
Hello, this is device 2, message 129, tx time 401 ms,-37,9
Hello, this is device 2, message 130, tx time 401 ms,-37,9
Hello, this is device 2, message 131, tx time 402 ms,-37,9
Hello, this is device 2, message 132, tx time 403 ms,-37,9
Hello, this is device 2, message 133, tx time 406 ms,-37,9
Hello, this is device 2, message 134, tx time 403 ms,-37,9
Hello, this is device 2, message 135, tx time 402 ms,-37,9
Hello, this is device 2, message 136, tx time 401 ms,-37,9
Hello, this is device 2, message 137, tx time 404 ms,-36,9
Hello, this is device 2, message 138, tx time 405 ms,-37,9
Hello, this is device 2, message 139, tx time 406 ms,-37,9
Hello, this is device 2, message 140, tx time 401 ms,-37,9
Hello, this is device 2, message 141, tx time 402 ms,-37,9
Hello, this is device 2, message 142, tx time 401 ms,-37,9
Hello, this is device 2, message 143, tx time 404 ms,-37,9
Hello, this is device 2, message 144, tx time 405 ms,-29,8
Hello, this is device 1, message 197, tx time 1411 ms,-48,9
Hello, this is device 1, message 198, tx time 404 ms,-48,9
Hello, this is device 1, message 199, tx time 403 ms,-48,9
Hello, this is device 1, message 200, tx time 404 ms,-48,8
Hello, this is device 1, message 201, tx time 405 ms,-48,9
Hello, this is device 1, message 202, tx time 404 ms,-48,8
Hello, this is device 1, message 203, tx time 403 ms,-48,9
Hello, this is device 1, message 204, tx time 404 ms,-48,9
Hello, this is device 1, message 205, tx time 405 ms,-48,9
Hello, this is device 1, message 206, tx time 404 ms,-48,9
Hello, this is device 1, message 207, tx time 403 ms,-48,9
Hello, this is device 1, message 208, tx time 404 ms,-48,9
Hello, this is device 1, message 209, tx time 403 ms,-48,9
Hello, this is device 1, message 210, tx time 405 ms,-48,9
Hello, this is device 1, message 211, tx time 403 ms,-47,8
Hello, this is device 1, message 212, tx time 403 ms,-48,9
Hello, this is device 1, message 213, tx time 404 ms,-48,9
Hello, this is device 1, message 214, tx time 405 ms,-48,9
Hello, this is device 1, message 215, tx time 404 ms,-48,7
Hello, this is device 1, message 216, tx time 403 ms,-49,9
Hello, this is device 1, message 217, tx time 404 ms,-48,8
Hello, this is device 1, message 218, tx time 405 ms,-47,9
Hello, this is device 1, message 219, tx time 404 ms,-47,9
Hello, this is device 1, message 220, tx time 403 ms,-47,9
Hello, this is device 1, message 221, tx time 404 ms,-48,9
Hello, this is device 1, message 222, tx time 405 ms,-47,8
Hello, this is device 1, message 223, tx time 404 ms,-45,9
Hello, this is device 1, message 224, tx time 403 ms,-45,9
Hello, this is device 1, message 225, tx time 404 ms,-44,9
Hello, this is device 1, message 226, tx time 405 ms,-45,9
Hello, this is device 1, message 227, tx time 404 ms,-44,10
Hello, this is device 1, message 228, tx time 403 ms,-44,10
Hello, this is device 1, message 229, tx time 404 ms,-45,9
Hello, this is device 1, message 230, tx time 405 ms,-45,9
Hello, this is device 1, message 231, tx time 404 ms,-45,9
Hello, this is device 1, message 232, tx time 403 ms,-44,9
Hello, this is device 1, message 233, tx time 404 ms,-44,9
Hello, this is device 1, message 234, tx time 405 ms,-44,10
Hello, this is device 1, message 235, tx time 404 ms,-44,9
Hello, this is device 1, message 236, tx time 403 ms,-44,10
Hello, this is device 1, message 237, tx time 404 ms,-45,9
Hello, this is device 1, message 238, tx time 403 ms,-45,9
Hello, this is device 1, message 239, tx time 406 ms,-44,9
Hello, this is device 1, message 240, tx time 403 ms,-44,9
Hello, this is device 1, message 241, tx time 404 ms,-44,9
Hello, this is device 1, message 242, tx time 403 ms,-44,9
